// Compost colors for gtceu. You may add your own colors, change existing ones, or remove colors that aren't needed.
activity_detector_cover, #9d8783
rotor_casting_mold, #7a756e
rotor_extruder_mold, #7c8089
rubber_boat, #644e33
rubber_chest_boat, #765a2d
rubber_door, #766140
rubber_gloves, #23231c
rubber_hanging_sign, #947952
rubber_sapling, #687a3e
rubber_sign, #9b7a4d
shutter_module_cover, #d4d4d4
silicon_boule, #dedede
silicon_wafer, #9d9ea4
silver_credit, #dad4dc
simple_soc, #86868a
simple_soc_wafer, #94969a
small_gear_casting_mold, #79736c
small_gear_extruder_mold, #797f86
small_pipe_extruder_mold, #838991
smd_capacitor, #a8b9b8
smd_diode, #726c66
smd_inductor, #b57266
smd_resistor, #f0d3b4
smd_transistor, #9d947c
soc, #f0b47d
soc_wafer, #ffc38a
solar_panel, #485b8a
solvent_spray_can, #a0afc3
steel_minecart_wheels, #58524b
stem_cells, #f1ddff
sticky_resin, #ffd273
storage_cover, #73695b
sus_record, #5b465e
tantalum_capacitor, #eb8a69
terminal, #cdd2cf
tiny_pipe_extruder_mold, #848a91
transistor, #80827d
treated_wood_boat, #46260b
treated_wood_chest_boat, #654118
treated_wood_door, #704326
treated_wood_hanging_sign, #7c5436
treated_wood_sign, #764828
tungsten_grinding_head, #7698c6
turbine_rotor, #ffffff
uev_conveyor_module, #1240a5
uev_electric_motor, #326ba7
uev_electric_piston, #1f51b2
uev_electric_pump, #3d6ba5
uev_emitter, #40759d
uev_field_generator, #36b1c8
uev_fluid_regulator, #486b8e
uev_robot_arm, #265fa2
uev_sensor, #325ca7
uhpic_chip, #5a5057
uhpic_wafer, #645861
uhv_conveyor_module, #8e3676
uhv_electric_motor, #89527a
uhv_electric_piston, #984a83
uhv_electric_pump, #724a6b
uhv_emitter, #896c86
uhv_field_generator, #836284
uhv_fluid_regulator, #78466c
uhv_robot_arm, #803d6e
uhv_sensor, #823672
uiv_conveyor_module, #836844
uiv_electric_motor, #ab7c47
uiv_electric_piston, #da9439
uiv_electric_pump, #a87f48
uiv_emitter, #8a5450
uiv_field_generator, #bf7c40
uiv_fluid_regulator, #896546
uiv_robot_arm, #a8703a
uiv_sensor, #e09134
ulpic_chip, #87898d
ulpic_wafer, #97989d
ulv_solar_panel, #7583b4
ulv_voltage_coil, #66556b
uv_battery_hull, #6f8a86
uv_conveyor_module, #5f202c
uv_electric_motor, #66404d
uv_electric_piston, #833648
uv_electric_pump, #5f3443
uv_emitter, #5c3443
uv_field_generator, #845b6e
uv_fluid_regulator, #662d3e
uv_naquadria_battery, #6e8a84
uv_robot_arm, #793347
uv_sensor, #783644
uv_solar_panel, #4e7abc
uv_voltage_coil, #6c2d3c
uxv_conveyor_module, #6e6639
uxv_electric_motor, #768451
uxv_electric_piston, #6c9e51
uxv_electric_pump, #66824b
uxv_emitter, #646f48
uxv_field_generator, #758c50
uxv_fluid_regulator, #5e7c52
uxv_robot_arm, #5c793e
uxv_sensor, #73a152
vacuum_tube, #b6b4bc
wetware_circuit_board, #556eff
wetware_printed_circuit_board, #8d94c0
wetware_processor, #dd7c57
wetware_processor_assembly, #dc8c83
wetware_processor_computer, #dd7265
wetware_processor_mainframe, #b6655e
white_dye_spray_can, #cccfe0
wire_extruder_mold, #82878e
yellow_dye_spray_can, #e3d375
yellow_glass_lens, #ffff8a
zero_point_module, #d68733
zpm_battery_hull, #878c82
zpm_conveyor_module, #897aa1
zpm_electric_motor, #86808e
zpm_electric_piston, #b2a2cf
zpm_electric_pump, #938e9d
zpm_emitter, #7a87b6
zpm_field_generator, #948d9e
zpm_fluid_regulator, #838089
zpm_naquadria_battery, #848c84
zpm_robot_arm, #9b91ae
zpm_sensor, #b1a4cc
zpm_solar_panel, #6683c6
zpm_voltage_coil, #3a483e
