// Compost colors for ferdinandsflowers. You may add your own colors, change existing ones, or remove colors that aren't needed.
african_daisy, #bed3dd
mexican_sage, #ffffff
mixed_pink_sweet_peas, #ffffff
mixed_zinnia, #dabb7d
mojave_indigo_bush, #ffffff
morning_glory, #7096ee
narcissus, #ffffe8
nasturtium, #cfd969
nasturtium_pink, #ede7cf
notch_leaf_scorpion_weed, #ffffff
nuphar, #b5dc89
ocotillo, #ffffff
orange_australian_flame_pea, #ffffcd
orange_cosmos, #fff297
orange_day_lily, #ffffe7
orange_freesia, #ffffc9
orange_gladiola, #ffffff
orange_lupin, #ffffb4
ornamental_cherry, #fffff5
owls_clover, #ffffff
oyster_blue, #ffffff
oyster_yellow, #ffffff
pansy, #ffffff
pansy_purple, #ffffff
paradox_sunflower, #ffffb4
parodia_muricata, #ffffb4
parrot_flower, #ffffff
peach_gladiola, #ffffff
peppermint, #e4fbff
periwinkle, #ffffff
pink_clover, #fff2f8
pink_desert_sand_verbena, #ffffff
pink_geranium, #cfcfbb
pink_larkspur, #ffdeff
pink_petticoat, #ffffff
pitcher_plant, #feffca
pixies_parasol_blue, #ffffff
pixies_parasol_cyan, #ffffff
purple_african_daisy, #ccc9d3
purple_calla_lily, #b8f8d0
purple_crocus, #ffffff
purple_flag, #ffffff
purple_larkspur, #a268ee
purple_lupin, #b9b2ed
purple_magenta_salvia, #e787ff
purple_sweet_peas, #fefbff
quince, #e49ea7
raccoon_grape, #fffeff
red_clover, #ffffee
red_freesia, #fffcc0
red_geranium, #c9c0aa
red_poppy, #ffe4cf
red_sunflower, #b57d43
rock_rose, #fffbde
rock_rose_orchid, #ffffff
royal_blue_lobelia, #a5aaff
salvia, #bf9ad2
silver_carpet, #ffffff
skyscraper_sunflower, #c6940e
snapdragon_pink, #ffffff
snapdragon_white, #ffffff
sprout, #9ec6a1
staked_blue_bell_sweet_peas, #c9cfcf
staked_bright_magenta_sweet_peas, #e8b2cd
staked_dark_blue_sweet_peas, #9ea2bf
staked_magenta_sweet_peas, #e6ccd9
staked_mixed_pink_sweet_peas, #ebd2d9
staked_morning_glory, #9793a1
staked_nasturtium, #c9c284
staked_nasturtium_pink, #ddd7b9
staked_purple_sweet_peas, #c9b9c9
sticky_monkey, #ffffaa
striped_zinnia, #d7be6b
sundance_kid_sunflower, #ffff9e
sunny_zinnia, #decc62
tall_cactus, #ffffff
tall_calla_lily, #ffffff
tall_cosmos, #c67cb2
tall_lupin, #fff1ff
tall_orange_cosmos, #f0c064
teddy_bear_sunflower, #ffff97
tumble_weed, #ffffff
venus_fly_trap, #ffffff
violet, #ffffff
violet_coral_fungus, #d3b6ff
violet_webcap, #ffffff
virginia_cowslip, #abdec6
water_lily_joy, #ffffff
water_lily_large, #54ae57
water_lily_lavender, #fff5ff
water_lily_light, #83be4d
water_lily_medium, #4ba44d
water_lily_purple, #ffc5ff
water_lily_small, #a4dc9e
water_lily_sunfire, #ffffd6
white_daffodil, #ffffff
white_larkspur, #ffffff
white_tinsel_flower, #ffffff
wisteria_lavender, #ffffff
wisteria_purple, #ffffff
wisteria_white, #ffffff
wolfs_bane, #d4ddff
wooly_thyme, #ffffff
yellow_cosmos, #d2ff9a
yellow_crocus, #ffffeb
yellow_daffodil, #ffffff
yellow_freesia, #ffffc3
yellow_lupin, #ffffaf
yellow_patches, #ffffff
yellow_stagshorn, #fffff4
yellow_starthistle, #ffffff
yucca, #8aa76c
yucca_flower, #ffffff
